local_code,mapped_code
512,1112312701
459,1112010313
5557,1111810272
3324,1112612902
5748,1113610901
4517,1111811339
3412,1112312701
1679,1113410183
36,1110511007
3690,1112312701
5408,1110312301
1389,1111610402
5347,1113610564
3553,1111812345
478,1112210610
369,1111811603
91,1110710109
674,1113110102
2664,1112810326
6022,1110310118
1943,1111811222
2638,1110510901
597,1112610512
4270,1111811213
27,1110410201
1157,1113910114
5263,1113911902
3985,1113210107
345,1111812324
3713,1113410163
1195,1114010820
1519,1113814819
1766,1111211305
95,1113110205
3447,1112611109
3728,1113812533
6289,1111812936
4941,1112010202
4614,1111610341
6253,1113813337
5257,1113011311
4287,1112613309
1214,1112613306
4726,1111812344
296,1111610702
5960,1112312701
3444,1112312701
3962,1111813503
1015,1113813222
1989,1113211604
1977,1112312701
3434,1111410302
71,1110710804
868,1113810303
3474,1114011117
4091,1111812322
4660,1113814524
2399,1113812310
3978,1113910728
241,1111410612
377,1111811602
3778,1113813019
567,1112410204
840,1113610221
4430,1111812337
421,1111811007
664,1112612904
316,1113814812
5929,1113813861
6312,1112312701
1064,1111212906
2555,1112611103
4610,1110512903
4385,1111810273
3992,1111812310
3275,1111410617
957,1113811602
1385,1113810816
854,1113610202
1186,1114110714
277,1111610103
789,1113210108
894,1112612012
1955,1112312701
2627,1112613310
5107,1111610345
5921,1113811214
4901,1113814515
5215,1113910947
5198,1110711004
154,1110512706
4055,1113813810
5629,1110312203
5327,1112312701
427,1111811205
3625,1111610338
6215,1112611219
3748,1111212906
4359,1113810405
2248,1111610501
4986,1110311301
2502,1111212906
2456,1113210408
3108,1111010206
5272,1112811708
3809,1111811110
1954,1112312701
774,1110511101
4612,1112611025
665,1112613217
3523,1110411501
3750,1113210419
1430,1113610537
4507,1112612520
2406,1111812499
626,1110512005
4945,1110310705
2553,1112611110
3478,1114011116
1265,1110511603
913,1113811218
2758,1114110803
1091,1113910828
3914,1111812324
4026,1111210604
313,1111611001
2511,1113410817
3810,1111811137
4211,1110610503
4695,1111210710
627,1112613011
4319,1112613277
5353,1112612626
2241,1113812927
1181,1114011117
1854,1112312701
2539,1112312701
157,1111110403
3974,1113410155
6279,1114011117
948,1113811417
5582,1112613311
187,1111212911
1485,1112810328
1754,1113610606
385,1111811818
2563,1113610545
1823,1113610804
3339,1112210611
5022,1110711801
1360,1112312701
5438,1110514002
4955,1110512903
4136,1111610615
828,1113610216
4529,1113410163
16,1110310434
934,1112613217
4603,1113410509
4830,1113610221
2382,1112613266
1218,1111211302
1720,1110711201
4285,1112612302
553,1112312701
3664,1112010205
5680,1113814307
1489,1112810320
4208,1113813805
3335,1110512216
3966,1114410204
5372,1114010124
3215,1111611113
2461,1111611204
839,1113610223
990,1113812535
3445,1110512216
2718,1114110601
5324,1112312701
5414,1112810359
646,1112612312
2683,1111210701
3499,1113813304
312,1111611002
4101,1112210611
4330,1112810304
4337,1112312701
5087,1111410327
2581,1112810310
4709,1116300101
4915,1113410821
101,1110710312
1371,1113910401
1538,1113812914
6234,1113411209
1578,1112312701
230,1111411019
4694,1111210707
5098,1111610804
3860,1110310601
2200,1113210103
5407,1111611126
3371,1110513001
4272,1111611014
2454,1111611124
2418,1112611220
4001,1113211604
3356,1113610577
2478,1110310118
874,1113810819
1187,1114110710
152,1110512706
4358,1113810406
5479,1116300101
888,1113810705
5332,1112610619
3566,1110711920
2059,1111611010
2640,1112610107
2447,1112610118
3159,1111810278
97,1110710202
6184,1117601107
4105,1114110505
5058,1111210701
3847,1113410820
5790,1112312701
2469,1111210507
220,1113810404
5760,1113811902
3390,1112613011
149,1110512706
1156,1113910113
4022,1113410813
5240,1113410155
1075,1112613011
6059,1113814811
4922,1113610580
2568,1111210204
4564,1113610580
923,1112613217
3244,1110311101
3544,1111610408
1680,1111610613
13,1110310418
3455,1113610605
3906,1111610705
1081,1113910815
1611,1113610221
3558,1112811502
5384,1111811242
4924,1111811231
813,1110512602
2300,1111610704
4432,1111812338
5145,1112210611
4327,1113810105
1646,1110511807
3341,1113812312
3682,1114110603
4511,1111212906
5374,1113410405
280,1111210505
4218,1111611206
4162,1112312701
5446,1112312701
488,1112312701
2052,1111610501
1099,1113910802
4975,1111810260
3145,1112612404
196,1111410421
2287,1113813601
5302,1111610607
2450,1114011117
3589,1110311602
965,1117600723
4110,1112611032
3238,1112312701
6286,1111812918
2318,1112312701
1343,1112612301
1249,1113110209
4649,1110310453
1245,1114010109
1613,1114011117
2495,1113813714
2673,1112810704
1378,1112010302
3168,1113211608
771,1113010503
5462,1111410438
1935,1111610404
3694,1110510901
3271,1112612023
5017,1110710602
108,1110710504
5988,1114011115
1697,1112610107
5527,1112610631
4702,1111411304
4348,1112210117
5232,1112613713
4795,1112612007
4554,1117600527
1341,1112312701
3382,1112610631
1165,1114011115
4918,1110511302
5443,1113610801
6203,1113610807
1513,1113110302
3402,1112312701
4369,1111813504
435,1111811302
4551,1111611110
827,1113610206
2636,1111811809
6172,1117601120
2336,1111611122
1432,1113610564
270,1111610113
5974,1113813333
4406,1111812307
3236,1111611124
3263,1112612401
3692,1113814103
3218,1110511602
5777,1112312701
807,1113210120
5465,1112613241
5542,1113812354
3309,1110512217
5337,1111810249
2734,1110410102
4919,1112613262
1588,1113410821
2298,1111610616
5600,1114900201
4863,1113813316
3173,1111410626
4847,1113811227
76,1110711309
1699,1112610606
1338,1113812925
2058,1111611004
6160,1110511201
28,1110511401
3874,1112810339
3104,1113812906
5867,1112210609
1414,1112312701
4312,1112613272
440,1111811314
85,1110710105
5255,1113812338
6278,1113611204
3991,1111812307
2225,1113811205
3407,1112310535
5285,1117600506
6315,1112312701
5538,1113812346
2217,1113410102
3875,1112810339
2367,1113910628
589,1112610101
4971,1110512903
2261,1110312203
618,1110511606
6039,1113410155
4002,1111610411
5318,1112312701
4952,1112611119
3551,1113813320
3515,1113410165
1342,1112810717
2198,1111212906
2158,1110310602
5553,1111810258
3607,1110310305
6306,1113813813
1659,1113410162
3921,1113410154
3313,1112611109
5772,1113410166
293,1111610609
3222,1113410403
3787,1112010205
3864,1112612004
5661,1113810105
5937,1113812903
4317,1112613274
1356,1111410433
613,1112611710
5813,1111812336
4899,1113814514
3650,1111410201
576,1110710101
4719,1111812340
4349,1112210115
1180,1114011117
4655,1111611113
3293,1112312701
3769,1112612008
2257,1110312203
1161,1114011117
4991,1111610114
630,1112612540
830,1113610216
4584,1117601102
1786,1111810537
4608,1110512903
6271,1117601302
800,1113210603
4277,1111410620
2711,1114110806
3419,1110310806
1788,1115100105
3410,1112312701
5326,1112312701
4171,1113410415
5874,1112210611
3624,1111610322
764,1112910403
1188,1114110711
5473,1112611042
2387,1113910502
3933,1110513003
891,1112611223
4715,1111810543
1421,1112612407
3827,1112810703
4377,1111810278
1501,1113410606
648,1110513002
6282,1113610592
4177,1112610522
862,1113610332
3297,1112312701
3141,1112612401
657,1112612312
4929,1111813204
696,1111811217
3861,1111811244
5610,1114410201
821,1113610304
614,1112611707
6280,1114011905
2559,1112611108
2500,1111212906
1428,1113610563
4347,1112210117
3508,1112312701
793,1113210113
5690,1113610807
5861,1113110203
2230,1113210407
1531,1113610102
3449,1113610334
2550,1112611105
1993,1112312701
4960,1110511606
1738,1113810211
2341,1111610511
409,1111810905
2414,1113410139
2749,1112312701
4117,1112312701
3970,1111812339
4876,1114011115
2219,1110510314
3654,1113222507
5273,1111813109
2103,1112210611
754,1112910207
6166,1113812334
4528,1113410163
3598,1111811339
5793,1113811502
636,1112612023
5294,1113610580
5967,1113910724
244,1111410634
215,1111410311
4896,1113813708
5797,1110511101
2693,1113910414
672,1112610621
2623,1110511606
2452,1114011116
899,1111211905
711,1112810305
3808,1111811007
1663,1113610102
4867,1114210303
3524,1113910826
2303,1111812499
1071,1113910803
2415,1113410172
4723,1113813865
4323,1113010202
5732,1113814821
5619,1114410149
5456,1111010210
1589,1113610605
6182,1113610579
5539,1113813833
394,1113813707
24,1110410201
1968,1113910412
628,1112613217
6231,1113913203
5114,1111611127
4733,1111811407
8,1110310324
6300,1113812345
1005,1113812310
885,1113811102
5906,1113610551
1397,1112312701
5486,1112612024
1268,1113811609
1313,1113810106
3862,1111811418
1560,1113410512
4264,1111811229
5148,1112210611
849,1113610602
1837,1110710609
3597,1110511302
286,1111610602
1263,1113610343
610,1112611710
5227,1113813708
1274,1111410429
5018,1110710601
6311,1112312701
5179,1112610603
1759,1110511201
3627,1113410410
587,1112610302
5205,1114110111
3772,1112312701
4898,1113814513
3348,1111813204
6173,1113610577
4819,1112910801
4937,1113813316
141,1110711431
935,1112613217
3712,1117600527
3994,1111812335
941,1113811905
5194,1113910218
2696,1114011115
2024,1110511607
4016,1113813707
5024,1110711404
880,1113812910
5297,1113814802
1596,1112010401
37,1110511401
3364,1114011115
5369,1117600510
1054,1113910216
195,1111410410
742,1112810357
2109,1110510802
4152,1111410632
3492,1113813312
1946,1111811007
392,1113813707
1339,1112510103
1234,1111211806
3318,1112612901
3574,1111010309
1649,1113910104
4125,1114011115
1769,1110311702
5605,1113410724
4070,1113210413
1039,1113813114
402,1113210120
4258,1113813301
4652,1110310104
2304,1111610704
3463,1110310502
4996,1113410302
5857,1110310508
1043,1113811905
1065,1111212906
1159,1113911702
5254,1110512901
3254,1110512217
4363,1110512902
3570,1111010106
2377,1110310516
2481,1111410221
4862,1111212906
1487,1113811509
1787,1115100105
1708,1112312701
3420,1113610101
1809,1111610302
1862,1112312701
419,1111811005
3,1110310716
5617,1111810224
1262,1113610343
4874,1113910934
1530,1110310705
5190,1113410405
3736,1113910952
2279,1110711002
4307,1111611122
1013,1113812805
612,1112611709
4624,1111610340
4927,1111811231
3184,1113910612
1016,1113813212
4424,1111812936
3359,1112610708
1798,1110310805
833,1113610221
3330,1110512216
251,1111510114
428,1111811205
4044,1113610578
2494,1113813712
713,1112812132
915,1113811205
2034,1111310401
98,1110710203
5028,1110711916
2380,1112312701
4328,1113810105
4601,1111610330
1686,1110711918
953,1113811608
436,1111811227
500,1112312701
3963,1114410203
2089,1111811211
5223,1112312701
955,1113811608
1929,1110514001
242,1111410611
4935,1111810320
5720,1114011116
2551,1112611105
1492,1110512501
4646,1113813832
4454,1113813810
22,1110310712
4158,1112312701
5500,1111811156
3491,1113813301
6239,1112611139
622,1112612809
1058,1113910211
1285,1112613287
2266,1111811209
1934,1110311001
3450,1111611105
1575,1111810520
354,1111810117
3932,1110513003
3685,1114410110
1508,1112810721
6024,1110514003
4389,1111810275
1314,1113810106
4577,1114011116
332,1111812329
5290,1117600717
2349,1111812338
3453,1113610343
253,1111510118
917,1113811208
3350,1111813213
1726,1110711208
4121,1113610564
1535,1110511606
4640,1111010302
186,1111212910
1502,1110511601
4690,1110711431
1373,1113910614
4687,1113010704
987,1113812314
532,1112312701
914,1113811204
1511,1110310404
2613,1113813707
5345,1111010104
2633,1112312701
3745,1112810403
3948,1110510315
398,1111811906
1577,1113810706
4506,1110511606
1334,1111210513
3689,1112312701
6284,1111813204
2275,1110711005
1629,1111410617
6317,1112613276
5317,1112312701
162,1111210703
3517,1110711010
2509,1113410817
3281,1111410605
1270,1112312701
3266,1112612404
2706,1112110401
57,1110710702
4345,1112210217
58,1110710703
2346,1110711018
4160,1112312701
3614,1113910818
414,1111810903
5696,1111210506
1229,1111211812
1522,1112210611
5231,1112613712
4984,1111810273
1235,1111211801
4458,1113912605
2351,1110710311
971,1113813601
4315,1112613276
940,1113811903
4911,1113410816
2542,1112312701
855,1113610323
6204,1113610807
2705,1113812912
1742,1113812915
2649,1113610549
1851,1112210611
2562,1113610506
1926,1113610304
5109,1111611124
4776,1112312701
3427,1112010404
1677,1113410622
5969,1117600526
2604,1110311103
1035,1113812309
4700,1111410222
5955,1111410220
4633,1113610804
3747,1111211905
4342,1112210120
6270,1117601301
167,1111210802
1019,1113813207
3577,1114011116
30,1110510227
3154,1112812109
824,1113610123
4078,1112312701
5837,1111411813
1434,1113610564
321,1111810903
2049,1113610602
3274,1111410615
5713,1112613325
171,1111210903
624,1112613307
1553,1113910711
268,1113610807
4451,1113813805
1283,1113610124
4137,1111610618
4268,1111811242
3556,1111811339
3176,1111410630
3259,1112611104
633,1112613011
4625,1111611605
4872,1113910620
2040,1113812925
2339,1110711205
2536,1112312701
4611,1112612527
5282,1117600705
5012,1110711404
3777,1113813019
5715,1111810252
4111,1112611033
851,1113610609
1152,1113910110
3136,1111812451
5568,1112613254
775,1111610624
3415,1112312701
5251,1118000304
3611,1113910913
6085,1113812334
5504,1113411206
6276,1114011116
2132,1113812104
4431,1111811408
3795,1112613275
3365,1110510306
469,1112210611
3406,1112312701
3831,1111411212
59,1110710110
3946,1110510303
1763,1111812341
3250,1112811501
4722,1111812324
2626,1112613711
358,1111811603
4198,1112312701
2620,1113812913
288,1111611415
6291,1111610338
1568,1112811913
896,1113811104
1396,1112312701
4210,1113813810
310,1111611005
998,1113812920
1494,1110512501
5397,1111811302
23,1110310716
6191,1110514003
949,1111210709
3148,1111810836
279,1111611115
1570,1113610114
4155,1112312701
32,1110510301
69,1110710804
1830,1112312701
2137,1110510211
3261,1112611112
180,1111210510
3237,1111611122
3208,1112312701
1057,1113910215
5518,1113411212
2134,1112312701
5264,1117600510
5787,1112312701
3641,1114411102
5342,1112810361
4421,1111812903
5319,1112312701
1921,1114011117
2427,1113910220
3727,1113813222
5494,1113011311
2010,1110310901
4381,1111810274
4858,1113812912
2561,1113811403
4161,1112312701
2260,1112611115
2417,1111811627
6210,1112613294
3210,1112210611
4794,1112312701
1420,1111610602
3008,1113310502
1869,1111410439
4583,1111010306
166,1111210801
4326,1113810105
4386,1111812307
5334,1112613273
776,1111610624
2608,1111010205
424,1111811303
5866,1112210611
5416,1113813222
1390,1113410601
4813,1110510216
5835,1110711907
2119,1113010726
3394,1112613243
164,1111210705
4798,1112611133
1623,1110510202
2564,1113610606
3967,1114410204
5581,1112312701
4338,1112312701
423,1111811303
1340,1112312701
190,1111210409
4940,1117600603
1667,1114110101
3783,1111410625
1207,1113810104
5423,1111610302
4793,1112312701
5242,1113610901
5399,1111811310
1975,1114011117
4239,1112312701
5076,1111410625
3662,1113610579
5719,1114011116
1326,1112312701
2401,1113812005
4791,1112312701
3564,1110711402
2526,1111210604
6238,1110512402
451,1111811509
201,1111410413
170,1111210902
3139,1112312701
635,1112611306
2268,1111811302
922,1113811206
2573,1111813117
4475,1118000304
1994,1113812912
5507,1113411214
413,1111810902
2730,1111610334
4525,1111810252
3804,1111811175
1304,1110711308
5991,1112312701
5249,1113610901
2411,1112010407
1678,1113810401
4533,1111813109
3839,1116300101
3705,1113910702
5552,1111810258
1693,1112312701
323,1111812217
3416,1112312701
1645,1113410161
4835,1113610346
386,1110310438
1810,1111610322
339,1111812323
2684,1113410606
5209,1111812914
4512,1113910628
4972,1111610608
740,1112812132
2719,1114110602
4247,1113610334
416,1111811002
3603,1111411210
2386,1110310613
4958,1112611418
745,1112910104
4839,1113610564
6015,1110511602
1507,1112812132
3169,1110512901
5989,1114011004
1228,1111211302
4131,1113910101
5252,1113813328
2617,1113813710
4846,1113811209
3845,1110310602
433,1111811207
3960,1111813501
5471,1112611044
399,1111812217
4013,1112312701
734,1112812132
2748,1112612901
3195,1112210611
1444,1113811409
1170,1110311402
2340,1112312701
944,1113810506
3977,1111610411
5702,1111813515
5185,1111010201
4823,1113410622
3829,1113410405
1280,1113610123
348,1111810113
3400,1112310524
1695,1112610110
1154,1113910115
3398,1112312701
4420,1112812103
5618,1114410167
350,1111810107
5751,1111212906
5166,1112310510
1949,1111812338
26027,1111611003
37349,1112310533
12464,1111211101
32572,1110510310
25608,1113210406
12581,1111510104
28763,1112811310
12467,1111210404
38734,1111810251
44458,1110310335
36032,1112611029
36172,1113911404
40714,1111810252
39794,1113010821
12533,1122500601
45791,1112313908
18910,1112612601
42374,1111812498
41292,1111812901
12473,1111210415
27663,1112810366
40564,1112210415
33286,1122500101
32308,1113410409
35726,1112510202
35735,1113010604
19894,1111210403
45247,1112210629
39349,1112312206
24226,1113610702
25286,1122500402
18923,1113910208
22067,1110510314
12709,1111611701
30583,1111410637
22554,1113010832
42891,1113814524
40488,1113813411
27464,1111610627
26387,1111410235
40863,1111610818
27281,1111810815
44708,1113812327
20404,1111510103
41744,1111810287
32237,1111810271
27803,1112812149
13026,1113813216
24509,1111810701
28003,1113910504
30477,1112311406
29692,1110310817
36475,1113911508
21901,1112311605
12482,1111210521
36903,1111810320
40459,1113011302
43212,1111812352
26194,1110710603
17518,1113910508
12674,1111811805
37182,1113810216
20280,1110510230
12875,1113110601
42691,1113814524
41573,1112410110
17421,1111211603
27147,1113910702
12669,1111811830
12542,1122500402
27149,1114010401
42241,1111811175
12872,1113110206
